"condition","h2a_peak","v5_peak","v5_score"
"YAF",9349,1,213
"YAF",9380,3,132
"YAF",9392,4,18
"YAF",9408,5,67
"YAF",9571,6,58
"YAF",9681,7,52
"YAF",9691,8,734
"YAF",9691,9,1094
"YAF",9691,10,1191
"YAF",9694,11,1386
"YAF",9695,12,1597
"YAF",9697,13,2390
"YAF",9699,14,340
"YAF",9700,15,262
"YAF",9701,16,403
"YAF",18045,17,72
"YAF",18050,18,73
"YAF",18105,19,227
"YAF",18179,20,83
"YAF",24912,21,105
"YAF",33219,24,34
"YAF",33276,25,438
"YAF",37226,26,163
"YAF",37227,27,95
"YAF",37228,28,366
"YAF",37266,29,24
"YAF",37266,30,54
"YAF",37266,31,32
"YAF",37268,32,84
"YAF",37268,33,124
"YAF",43410,34,176
"YAF",43419,35,630
"YAF",43419,36,86
"YAF",43419,37,411
"YAF",43419,38,266
"YAF",48290,39,39
"YAF",54043,41,14
"YAF",54055,42,43
"YAF",54065,43,33
"YAF",54160,44,77
"YAF",54170,45,42
"YAF",54238,46,83
"YAF",54337,47,23
"YAF",57834,48,76
"YAF",71972,49,81
"YAF",77689,51,43
"YAF",83176,52,71
"YAF",91213,54,229
"YAF",97662,55,17
"YAF",97678,56,80
"YAF",97688,57,48
"YAF",97730,58,50
"YAF",97766,59,55
"YAF",97780,60,91
"YAF",97879,61,18
"YAF",97902,62,99
"YAF",97955,64,46
"YAF",97955,65,55
"YAF",97956,66,225
"YAF",97957,67,546
"YAF",97957,68,134
"YAF",97958,69,183
"YAF",110677,72,204
"YAF",110688,73,116
"YAF",110712,74,129
"YAF",120000,75,23
"YAF",120036,76,39
"YAF",120111,77,137
"YAF",122226,79,28
"YAF",138645,81,112
"GFP",7842,1,213
"GFP",7861,3,132
"GFP",7883,5,67
"GFP",8009,6,58
"GFP",8117,7,52
"GFP",8121,8,734
"GFP",8121,9,1094
"GFP",8121,10,1191
"GFP",8124,11,1386
"GFP",8125,12,1597
"GFP",8126,13,2390
"GFP",8128,14,340
"GFP",8129,15,262
"GFP",8130,16,403
"GFP",14805,17,72
"GFP",14809,18,73
"GFP",14844,19,227
"GFP",20589,21,105
"GFP",27938,25,438
"GFP",31721,26,163
"GFP",31727,29,24
"GFP",31727,30,54
"GFP",31727,31,32
"GFP",31729,32,84
"GFP",31729,33,124
"GFP",37217,34,176
"GFP",37220,35,630
"GFP",37220,36,86
"GFP",37220,37,411
"GFP",37220,38,266
"GFP",41307,39,39
"GFP",46873,42,43
"GFP",46881,43,33
"GFP",46949,44,77
"GFP",47007,46,83
"GFP",47095,47,23
"GFP",50713,48,76
"GFP",61840,49,81
"GFP",78480,54,229
"GFP",83327,55,17
"GFP",83348,57,48
"GFP",83408,59,55
"GFP",83421,60,91
"GFP",83498,61,18
"GFP",83516,62,99
"GFP",83521,63,14
"GFP",83575,64,46
"GFP",83575,65,55
"GFP",83576,66,225
"GFP",83577,67,546
"GFP",83577,68,134
"GFP",83578,69,183
"GFP",92608,70,26
"GFP",93232,71,63
"GFP",93235,72,204
"GFP",93239,73,116
"GFP",93247,74,129
"GFP",100060,77,137
"GFP",114746,81,112
